# 1060 طبيب

Dr. R Prasada Reddy | AIG Hospitals, Gachibowli Hyderabad | أمراض القلب | Cardiology
Dr. C Narasimhan | AIG Hospitals, Gachibowli Hyderabad | فيزيولوجيا كهربائية القلب | Electrophysiology & Cardiology
Dr. Sundeep Lakhtakia | AIG Hospitals, Gachibowli Hyderabad | مناظير متقدمة | Endoscopy & EUS
Dr. D Nageshwar Reddy | AIG Hospitals, Gachibowli Hyderabad | الجهاز الهضمي | Gastroenterology
Dr. Rupa Banerjee | AIG Hospitals, Gachibowli Hyderabad | أمراض الأمعاء ومناظير | IBD & Endoscopy
Dr. Naveen Reddy Podduturi | AIG Hospitals, Gachibowli Hyderabad | طب باطني | Internal Medicine
Dr. Mohan Ramchandani | AIG Hospitals, Gachibowli Hyderabad | مناظير الجهاز الهضمي | Interventional Endoscopy
Dr. P Nagaraja Rao | AIG Hospitals, Gachibowli Hyderabad | أمراض وزراعة الكبد | Liver Sciences & Transplant Hepatology
Dr. P. Balachandran Menon | AIG Hospitals, Gachibowli Hyderabad | زراعة الكبد والجراحة الكبدية | Liver Transplant & Hepatobiliary Surgery
Dr. G. V. Rao | AIG Hospitals, Gachibowli Hyderabad | الجراحة طفيفة التوغل والجهاز الهضمي | Surgical Gastroenterology & Minimally Invasive Surgery
Dr. Jayanthi Thumsi | Apollo Hospital, Bannerghatta Bangalore | أورام الثدي | Breast Oncology
Dr. Linu Jacob | Apollo Hospital, Bannerghatta Bangalore | أورام الثدي | Breast Oncology
Dr. Satyaki Nambyala | Apollo Hospital, Bannerghatta Bangalore | جراحة القلب والصدر والأوعية | CTVS
Dr. Sathyaki P Nambala | Apollo Hospital, Bannerghatta Bangalore | جراحة القلب | Cardiac Surgery
Dr. Abhijit Vilas Kulkarni | Apollo Hospital, Bannerghatta Bangalore | أمراض القلب | Cardiology
Dr. B. Ramesh | Apollo Hospital, Bannerghatta Bangalore | أمراض القلب | Cardiology
Dr. Girish B Navasundhi | Apollo Hospital, Bannerghatta Bangalore | أمراض القلب | Cardiology
Dr. K.B. Prasad | Apollo Hospital, Bannerghatta Bangalore | أمراض القلب | Cardiology
Dr. Lakshimikant | Apollo Hospital, Bannerghatta Bangalore | أمراض القلب | Cardiology
Dr. Vittal Bhagi | Apollo Hospital, Bannerghatta Bangalore | أمراض القلب | Cardiology
Dr. Sugami Ramesh | Apollo Hospital, Bannerghatta Bangalore | علم النفس | Clinical Psychology
Dr. Narasimhaiah Srinivasaiah | Apollo Hospital, Bannerghatta Bangalore | سرطان القولون والمستقيم | Colon & Rectal Cancer
Dr. Ashwini Shetty | Apollo Hospital, Bannerghatta Bangalore | جلدية | Dermatology
Dr. Girish Panth | Apollo Hospital, Bannerghatta Bangalore | جلدية | Dermatology
Dr. Surendra V H | Apollo Hospital, Bannerghatta Bangalore | جلدية | Dermatology
Dr. Vanita Mathew | Apollo Hospital, Bannerghatta Bangalore | جلدية | Dermatology
Dr. Aanchal A Mittal | Apollo Hospital, Bannerghatta Bangalore | أنف وأذن وحنجرة | ENT
Dr. Nagamani | Apollo Hospital, Bannerghatta Bangalore | أنف وأذن وحنجرة | ENT
Dr. Pradeep Hosamani | Apollo Hospital, Bannerghatta Bangalore | أنف وأذن وحنجرة | ENT
Dr. Sumit Kumar Gaur | Apollo Hospital, Bannerghatta Bangalore | أنف وأذن وحنجرة | ENT
Dr. Sunil Narayan Dutt | Apollo Hospital, Bannerghatta Bangalore | أنف وأذن وحنجرة | ENT
Dr. Dwarkanath | Apollo Hospital, Bannerghatta Bangalore | الغدد الصماء | Endocrinology
Dr. Suyadevara Varun | Apollo Hospital, Bannerghatta Bangalore | الغدد الصماء | Endocrinology
Dr. Dinesh Kini | Apollo Hospital, Bannerghatta Bangalore | جهاز هضمي | Gastroenterology
Dr. Prasanna K.S | Apollo Hospital, Bannerghatta Bangalore | جهاز هضمي | Gastroenterology
Dr. Vijay Kumar | Apollo Hospital, Bannerghatta Bangalore | جهاز هضمي | Gastroenterology
Dr. Dinesh Kumar | Apollo Hospital, Bannerghatta Bangalore | جراحة عامة | General Surgery
Dr. Gautham | Apollo Hospital, Bannerghatta Bangalore | جراحة عامة | General Surgery
Dr. Kiran KJ | Apollo Hospital, Bannerghatta Bangalore | جراحة عامة | General Surgery
Dr. Prashanth C | Apollo Hospital, Bannerghatta Bangalore | جراحة عامة | General Surgery
Dr. Ravishankar Bhat | Apollo Hospital, Bannerghatta Bangalore | جراحة عامة | General Surgery
Dr. Satyajit Godhi | Apollo Hospital, Bannerghatta Bangalore | جراحة عامة | General Surgery
Dr. Saurabh Mishra | Apollo Hospital, Bannerghatta Bangalore | جراحة عامة | General Surgery
Dr. Aarathi Kannan | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Geriatric Internal Medicine
Dr. Steve Paul Manjaly | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Geriatric Internal Medicine
Dr. Rani A Bhat | Apollo Hospital, Bannerghatta Bangalore | أورام نسائية | Gynaecological Cancer
Dr. Chitra Ramamurthy | Apollo Hospital, Bannerghatta Bangalore | أمراض النساء | Gynaecology
Dr. Harshitha Ramamurthy | Apollo Hospital, Bannerghatta Bangalore | أمراض النساء | Gynaecology
Dr. Preethi Prabhakar Shetty | Apollo Hospital, Bannerghatta Bangalore | أمراض النساء | Gynaecology
Dr. Sunitha Shreedhar | Apollo Hospital, Bannerghatta Bangalore | أمراض النساء | Gynaecology
Dr. Neema Bhat | Apollo Hospital, Bannerghatta Bangalore | أمراض الدم وأورام الأطفال | Haematology & Paediatric Oncology
Dr. Krishnamurthy | Apollo Hospital, Bannerghatta Bangalore | جراحة الرأس والرقبة | Head & Neck Cancer
Dr. Satish Nair | Apollo Hospital, Bannerghatta Bangalore | جراحة الرأس والرقبة | Head & Neck Cancer
Dr. P Subramanya Rao | Apollo Hospital, Bannerghatta Bangalore | جراحة الرأس والرقبة | Head & Neck Oncology
Dr. Sandeep Satsangi | Apollo Hospital, Bannerghatta Bangalore | أمراض الكبد | Hepatology
Dr. Vinay D | Apollo Hospital, Bannerghatta Bangalore | أمراض معدية | Infectious Disease
Dr. Hina Mehara | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Jyotsna Krishnappa | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Kalpana Janardhan | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Malla Reddy | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Rajeeva Mogar | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Ramesh B.S | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Raza Shah | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Swarna Das | Apollo Hospital, Bannerghatta Bangalore | طب باطني | Internal Medicine
Dr. Jayath Reddy | Apollo Hospital, Bannerghatta Bangalore | زراعة الكبد | Liver Transplant
Dr. Sanjay Govil | Apollo Hospital, Bannerghatta Bangalore | زراعة الكبد | Liver Transplant
Dr. Suresh Ragavaiah | Apollo Hospital, Bannerghatta Bangalore | زراعة الكبد | Liver Transplant
Dr. Kiran Kumar Sajjan Shetty | Apollo Hospital, Bannerghatta Bangalore | أورام طبية | Medical Oncology
Dr. Poonam Maurya | Apollo Hospital, Bannerghatta Bangalore | أورام طبية | Medical Oncology
Dr. Vijay Agarwal | Apollo Hospital, Bannerghatta Bangalore | أورام طبية | Medical Oncology
Dr. Vishwanath S | Apollo Hospital, Bannerghatta Bangalore | أورام طبية | Medical Oncology
Dr. Arpana Bansal | Apollo Hospital, Bannerghatta Bangalore | حديثي الولادة | Neonatology
Dr. Prashanth Urs | Apollo Hospital, Bannerghatta Bangalore | حديثي الولادة | Neonatology
Dr. Gokulnath | Apollo Hospital, Bannerghatta Bangalore | أمراض الكلى | Nephrology
Dr. Vinod Kumar | Apollo Hospital, Bannerghatta Bangalore | أمراض الكلى | Nephrology
Dr. Gurucharan Adhoor | Apollo Hospital, Bannerghatta Bangalore | طب الأعصاب | Neurology
Dr. Suryanarayana Sharma P M | Apollo Hospital, Bannerghatta Bangalore | طب الأعصاب | Neurology
Dr. Vikram Kamath | Apollo Hospital, Bannerghatta Bangalore | طب الأعصاب | Neurology
Dr. Kumbhar Kartik Revanappa | Apollo Hospital, Bannerghatta Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Sachin G | Apollo Hospital, Bannerghatta Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Satish Satyanarayan | Apollo Hospital, Bannerghatta Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Govindarajan M J | Apollo Hospital, Bannerghatta Bangalore | تصوير الأورام | Onco Imaging
Dr. Murthy S | Apollo Hospital, Bannerghatta Bangalore | تصوير الأورام | Onco Imaging
Dr. Savith Kumar | Apollo Hospital, Bannerghatta Bangalore | تصوير الأورام | Onco Imaging
Dr. Swarna Shivakumar | Apollo Hospital, Bannerghatta Bangalore | تصوير الأورام | Onco Imaging
Dr. Shalini Shetty | Apollo Hospital, Bannerghatta Bangalore | طب العيون | Ophthalmology
Dr. Adarsh | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Ajith Prabhu | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Manish Samson | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Pradeep Kochheppan | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Rajshekar K T | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Raviraj A | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Shashikumar H.K | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Vidya Sagar | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Vivek Kumar | Apollo Hospital, Bannerghatta Bangalore | جراحة العظام | Orthopaedic
Dr. Srimanth B S | Apollo Hospital, Bannerghatta Bangalore | أورام عظام | Orthopaedic Oncology
Dr. Anjana Hulse | Apollo Hospital, Bannerghatta Bangalore | الغدد الصماء للأطفال | Paediatric Endocrinology
Dr. Manohar Babu | Apollo Hospital, Bannerghatta Bangalore | عظام الأطفال | Paediatric Ortho
Dr. Anand Alladi | Apollo Hospital, Bannerghatta Bangalore | جراحة الأطفال | Paediatric Surgeon
Dr. Chitra Ramu | Apollo Hospital, Bannerghatta Bangalore | جراحة الأطفال | Paediatric Surgery
Dr. Poonam Shetty | Apollo Hospital, Bannerghatta Bangalore | طب أطفال | Paediatrics
Dr. Radhakrisha Hegde | Apollo Hospital, Bannerghatta Bangalore | طب أطفال | Paediatrics
Dr. Raghavan P.S | Apollo Hospital, Bannerghatta Bangalore | طب أطفال | Paediatrics
Dr. Shwetha S Rao | Apollo Hospital, Bannerghatta Bangalore | طب أطفال | Paediatrics
Dr. Sowmya C.C | Apollo Hospital, Bannerghatta Bangalore | طب أطفال | Paediatrics
Dr. Roshan Jain | Apollo Hospital, Bannerghatta Bangalore | طب نفسي | Psychiatry
Dr. Shobha Krishna | Apollo Hospital, Bannerghatta Bangalore | طب نفسي | Psychiatry
Dr. Srinivas Reddy | Apollo Hospital, Bannerghatta Bangalore | طب نفسي | Psychiatry
Dr. Hariprasad | Apollo Hospital, Bannerghatta Bangalore | أمراض الرئة | Pulmonology
Dr. Ravindra Mehta | Apollo Hospital, Bannerghatta Bangalore | أمراض الرئة | Pulmonology
Dr. Sumanth Mantri | Apollo Hospital, Bannerghatta Bangalore | أمراض الرئة | Pulmonology
Dr. B K M Reddy | Apollo Hospital, Bannerghatta Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Kumara Swamy | Apollo Hospital, Bannerghatta Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Natarajan V | Apollo Hospital, Bannerghatta Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Sridhar P S | Apollo Hospital, Bannerghatta Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Vijay Bhaskar L | Apollo Hospital, Bannerghatta Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Vikram Maiya M | Apollo Hospital, Bannerghatta Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Vinay Ural | Apollo Hospital, Bannerghatta Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Roopa Tekkatte | Apollo Hospital, Bannerghatta Bangalore | أمراض الروماتيزم | Rheumatology
Dr. Anil Kamat | Apollo Hospital, Bannerghatta Bangalore | جراحة الأورام | Surgical Oncology
Dr. Sunil Navalgund | Apollo Hospital, Bannerghatta Bangalore | جراحة الأورام | Surgical Oncology
Dr. Manohar T | Apollo Hospital, Bannerghatta Bangalore | أورام المسالك البولية | Uro Oncology
Dr. Ravi Chandran K | Apollo Hospital, Bannerghatta Bangalore | أورام المسالك البولية | Uro Oncology
Dr. Sundar Narasimhan | Apollo Hospital, Bannerghatta Bangalore | جراحة الأوعية الدموية | Vascular Surgery
Dr. Amit Jassal | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. Amit Kalsotra | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. G. Arya Prakash | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. Narender Kumar | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. Rajesh Misra | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. Shelly Mittal | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. Swati Aggarwal | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. Vijay Mohan Hanjoora | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. Y Naveen | Artemis Hospital, Delhi | تخدير | Anaesthesia
Dr. (Brig.) Anil Khetarpal | Artemis Hospital, Delhi | طب نقل الدم | Blood Centre & Transfusion Medicine
Dr. Deepak Jha | Artemis Hospital, Delhi | جراحة الثدي | Breast Surgery / Oncology
Dr. (Col) Balbir Kalra | Artemis Hospital, Delhi | أمراض القلب | Cardiology
Dr. D.K. Jhamb | Artemis Hospital, Delhi | أمراض القلب | Cardiology
Dr. Rahul Mehrotra | Artemis Hospital, Delhi | أمراض القلب | Cardiology
Dr. Surendra Nath Khanna | Artemis Hospital, Delhi | جراحة أوعية وقلب | Cardiothoracic & Vascular Surgery
Dr. Ankur Bhatia | Artemis Hospital, Delhi | جراحة تجميل | Cosmetic & Plastic Surgery
Dr. Pradeep Kumar Singh | Artemis Hospital, Delhi | جراحة تجميل | Cosmetic & Plastic Surgery
Dr. Anjana Satyajit | Artemis Hospital, Delhi | طب الأسنان | Dentistry
Dr. Monica Bambroo | Artemis Hospital, Delhi | جلدية وتجميل | Dermatology & Cosmetology
Dr. Noor Sharma | Artemis Hospital, Delhi | جلدية وتجميل | Dermatology & Cosmetology
Dr. Shifa Yadav | Artemis Hospital, Delhi | جلدية وتجميل | Dermatology & Cosmetology
